,Variant,Make_Month,No_of_Owners,Color,Type_of_Car,Transmission,Insurance_Type,Condition,Registration_Place,Power_steering,Cruise_Control,Navigation_System,Adjustable_Steering,Automatic_Boot,Air_Conditioning,Power_Windows,Sunroof,Fog_Lamps,Alloy_Wheels,Adjustable_External_Mirror,Display_Screen,Bluetooth,AMFM_adio,USB_Compatibility,Aux_Compatibility,ABS,Anti_Theft_Device,Rear_Parking_Camera,Parking_Sensors,Lock_System,Number_of_Airbags,Flood_Affected,Accidental,Registration_Transfer,Insurance,Finance,Exchange,Brand,Model,Year,Fuel,KM_driven,Price
467,SwiftVDiABSBS-IV,November,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,Yes,,Manual,,,,,,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Diesel,"55,500 km",385000
468,ErtigaVDi,March,First,Grey,SUV,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2013,Diesel,"22,805 km",625000
469,SwiftDzireVXI,January,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift Dzire,2013,Petrol,"41,173 km",365000
470,VXIAutomatic,December,First,Blue,Sedans,Manual,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Wagon R,2019,Petrol,1 km,661353
471,SwiftVDi,June,First,Other,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,,,Front&rear,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Maruti Suzuki,Swift,2008,Diesel,"110,000 km",225000
472,WagonRLXI,August,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2013,CNG & Hybrids,"48,000 km",285000
473,ErtigaVxiCNG,July,First,Blue,SUV,Manual,Comprehensive,Used,MH,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2014,CNG & Hybrids,"39,027 km",595000
474,ErtigaVxiABS,November,First,Grey,SUV,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2013,Petrol,"29,000 km",495000
475,SwiftVXi,July,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Petrol,"18,000 km",370000
476,SwiftDzireVXi1.2BS-IV,March,First,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2010,Petrol,"56,951 km",265000
477,ErtigaVxi,December,First,Red,Hatchback,Automatic,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2019,Diesel,1 km,1095033
478,ErtigaVxiCNG,July,First,Blue,SUV,Manual,Comprehensive,Used,MH,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2014,CNG & Hybrids,"39,027 km",595000
479,SwiftDzireVXi1.2BS-IV,March,First,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2010,Petrol,"56,951 km",265000
480,SwiftLXi,March,First,Grey,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,Maruti Suzuki,Swift,2016,CNG & Hybrids,"34,531 km",450000
481,ErtigaVxiABS,November,First,Grey,SUV,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2013,Petrol,"29,000 km",495000
482,WagonR1.0VXi,October,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2012,Petrol,"38,261 km",265000
483,ErtigaVxiCNG,March,First,Red,SUV,Manual,Comprehensive,New,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2020,CNG & Hybrids,55 km,899000
484,ErtigaVxiABS,November,First,Grey,SUV,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2013,Petrol,"29,000 km",495000
485,WagonR1.0LXiCNG,September,First,Grey,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2015,CNG & Hybrids,"51,045 km",340000
486,ErtigaVDi,,First,Gold,SUV,Manual,Comprehensive,Used,MH,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,,,,,,Yes,Yes,Yes,Yes,RemoteControlledCentral,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015,Diesel,"61,929 km",685000
487,ErtigaVDi,March,First,Grey,SUV,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2013,Diesel,"22,805 km",625000
488,ErtigaVxiCNG,March,First,Red,SUV,Manual,Comprehensive,New,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2020,CNG & Hybrids,55 km,899000
489,SwiftVXi,September,Third,White,Hatchback,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift,2010,CNG & Hybrids,"83,799 km",185000
490,ErtigaVxiCNG,March,First,Red,SUV,Manual,Comprehensive,New,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2020,CNG & Hybrids,55 km,899000
491,SwiftVDi,February,First,White,Sedans,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Diesel,"55,000 km",385000
492,WagonRLXI,August,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2013,CNG & Hybrids,"48,000 km",285000
493,SwiftVDi,June,First,Other,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,,,Front&rear,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,Maruti Suzuki,Swift,2008,Diesel,"110,000 km",225000
494,VXIAutomatic,October,First,Brown,Hatchback,Automatic,NoInsurance,Used,MH,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2017,Petrol,"30,120 km",390000
495,SwiftVDiBS-IV,August,Second,Grey,Hatchback,Manual,ThirdParty,Used,UP,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,,,,,Central,,,,Yes,Yes,,Yes,Maruti Suzuki,Swift,2013,Diesel,"72,000 km",335000
496,ZDIPlus ,December,First,Red,Hatchback,Manual,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2019,Diesel,1 km,1372428
497,ErtigaVxi,December,First,Red,Hatchback,Automatic,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2019,Diesel,1 km,1095033
498,ErtigaVxiCNG,July,First,Blue,SUV,Manual,Comprehensive,Used,MH,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2014,CNG & Hybrids,"39,027 km",595000
499,ErtigaVDi,,First,Gold,SUV,Manual,Comprehensive,Used,MH,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,,,,,,Yes,Yes,Yes,Yes,RemoteControlledCentral,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015,Diesel,"61,929 km",685000
500,SwiftDzireVXi1.2BS-IV,March,First,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2010,Petrol,"56,951 km",265000
501,WagonR1.0LXiCNG,April,First,Gold,Hatchback,Manual,Comprehensive,Used,MH,,,,,,AutomaticClimateControl,Front&rear,,,,Manual,,,,Yes,Yes,,Yes,,Yes,RemoteControlledCentral,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2015,Petrol,"18,000 km",375000
502,WagonR1.0LXiCNG,September,First,Grey,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2015,CNG & Hybrids,"51,045 km",340000
503,ErtigaVxi,December,First,Red,Hatchback,Automatic,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2019,Diesel,1 km,1095033
504,WagonRLXI,August,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2013,CNG & Hybrids,"48,000 km",285000
505,WagonR1.0VXi,October,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2012,Petrol,"38,261 km",265000
506,ErtigaVDi,,First,Gold,SUV,Manual,Comprehensive,Used,MH,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,,,,,,Yes,Yes,Yes,Yes,RemoteControlledCentral,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015,Diesel,"61,929 km",685000
507,WagonR1.0LXiCNG,October,First,Red,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,"68,653 km",280000
508,VXIAutomatic,December,First,Blue,Sedans,Manual,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Wagon R,2019,Petrol,1 km,661353
509,VXIAutomatic,October,First,Brown,Hatchback,Automatic,NoInsurance,Used,MH,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2017,Petrol,"30,120 km",390000
510,WagonR1.0LXiCNG,September,First,Grey,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2015,CNG & Hybrids,"51,045 km",340000
511,ErtigaZXi,June,First,Silver,SUV,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,,,Maruti Suzuki,Ertiga,2012.0,Petrol,"50,000 km",475000
512,ErtigaZDi,January,Second,Grey,MUV,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,Maruti Suzuki,Ertiga,2013.0,Diesel,"101,300 km",565000
513,SwiftDzireVDI,June,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift Dzire,2018,Diesel,"18,732 km",755000
514,SwiftDzireVXi1.2BS-IV,March,First,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2010,Petrol,"56,951 km",265000
515,SwiftLXi,March,First,Grey,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,Maruti Suzuki,Swift,2016,CNG & Hybrids,"34,531 km",450000
516,WagonR1.0LXiCNG,February,First,Blue,Hatchback,Manual,Comprehensive,New,MH,Yes,,,,,AutomaticClimateControl,Front&rear,,Yes,,Power,,Yes,,Yes,Yes,Yes,,Yes,Yes,RemoteControlledCentral,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2020,CNG & Hybrids,45 km,519000
517,ErtigaVxi,January,First,White,MUV,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2012.0,Petrol,"70,000 km",490000
518,SwiftLXi,April,Second,Red,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,,WithHeater,Front,,,,Power,,,,Yes,Yes,,,,,Central,,No,No,Yes,,,,Maruti Suzuki,Swift,2006.0,CNG & Hybrids,"92,000 km",195000
519,SwiftDzireVXIAutomatic,April,First,Silver,Sedans,Automatic,NoInsurance,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,,Power,,,,Yes,Yes,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2012,Petrol,"56,000 km",395000
520,ErtigaVxiABS,June,First,Silver,SUV,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,Yes,,Manual,,Yes,,Yes,Yes,Yes,,,Yes,RemoteControlledCentral,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2018,Petrol,"7,800 km",775000
521,ErtigaVxi,April,Second,White,MUV,Manual,NoInsurance,Used,MH,Yes,,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015,Petrol,"55,000 km",542000
522,SwiftDzireVXI,June,Second,Red,Sedans,Manual,NoInsurance,Used,MH,Yes,,,Yes,,AutomaticClimateControl,Front&rear,,Yes,,,,,,,Yes,,,,,,,No,No,Yes,,,Yes,Maruti Suzuki,Swift Dzire,2008,Petrol,"64,000 km",195000
523,SwiftVXi,September,First,White,Hatchback,Manual,,Used,ML,Yes,,,,,,Front&rear,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2015.0,Petrol,"52,123 km",450000
524,WagonRVXiBS-III,July,Second,Blue,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,WithHeater,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2009,Petrol,"53,000 km",169000
525,SwiftDZireAutomatic,April,First,White,Sedans,Automatic,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift Dzire,2016,Petrol,"22,500 km",550000
526,WagonR1.0VXi,,First,,,Manual,,,MH,Yes,,,Yes,,WithHeater,Front&rear,,,,,,Yes,,Yes,,,,,Yes,RemoteControlledCentral,,,,,,,,Maruti Suzuki,Wagon R 1.0,2011.0,Petrol,"63,200 km",230000
527,SwiftVDi,October,First,Grey,Hatchback,Manual,Comprehensive,New,MH,Yes,,,Yes,,AutomaticClimateControl,Front&rear,,Yes,,Manual,,Yes,,Yes,Yes,,,,,Central,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2014.0,Diesel,"71,150 km",421000
528,WagonRVXiBS-III,October,First,,,Manual,NoInsurance,,MH,Yes,,,Yes,,WithHeater,Front&rear,,,,,,,,,,,,,,RemoteControlledCentral,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2011.0,Petrol,"63,256 km",225000
529,ErtigaVxiCNG,October,First,Grey,SUV,Manual,Comprehensive,New,MH,Yes,,Yes,Yes,,AutomaticClimateControl,Front&rear,,Yes,,Manual,,Yes,,Yes,Yes,Yes,,,,Central,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015.0,CNG & Hybrids,"45,100 km",621000
530,WagonRLXI,November,First,Grey,Hatchback,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Wagon R,2015,CNG & Hybrids,"43,000 km",330000
531,ErtigaZXi,October,Second,Silver,MUV,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015,Petrol,"79,000 km",599000
532,WagonRVXiBS-III,July,Second,Blue,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,WithHeater,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2009,Petrol,"53,000 km",169000
533,ErtigaVxi,August,First,White,MUV,Manual,,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2012,Petrol,"55,000 km",499000
534,ErtigaVxiCNG,January,First,Silver,SUV,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2014,CNG & Hybrids,"126,677 km",495000
535,SwiftVXi,September,First,Blue,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,,Power,Yes,,,Yes,Yes,,Yes,,,RemoteControlledCentral,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2013,Petrol,"38,200 km",359000
536,SwiftVXi,July,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Petrol,"18,000 km",370000
537,WagonR1.0LXiCNG,April,First,Gold,Hatchback,Manual,Comprehensive,Used,MH,,,,,,AutomaticClimateControl,Front&rear,,,,Manual,,,,Yes,Yes,,Yes,,Yes,RemoteControlledCentral,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2015,Petrol,"18,000 km",375000
538,ErtigaVxiCNG,March,First,Red,SUV,Manual,Comprehensive,New,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2020,CNG & Hybrids,55 km,899000
539,SwiftDzireVDIAMT(Automatic),April,First,White,Sedans,Automatic,Comprehensive,Used,MH,Yes,,,,,AutomaticClimateControl,Front&rear,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,,,2airbags,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2018,Diesel,"16,000 km",795000
540,ErtigaZXi,June,First,Silver,SUV,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,,,Maruti Suzuki,Ertiga,2012.0,Petrol,"50,000 km",475000
541,SwiftVXi,September,Second,White,,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,,Maruti Suzuki,Swift,2013,Petrol,"14,000 km",365000
542,ErtigaVxiCNG,October,First,Grey,SUV,Manual,Comprehensive,New,MH,Yes,,Yes,Yes,,AutomaticClimateControl,Front&rear,,Yes,,Manual,,Yes,,Yes,Yes,Yes,,,,Central,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015.0,CNG & Hybrids,"45,100 km",621000
543,SwiftVXi,January,First,Red,Hatchback,Manual,,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift,2018,Petrol,"15,990 km",595000
544,WagonRDuoLXiLPG,January,Second,Blue,Hatchback,Manual,,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Wagon R,2008,LPG,"82,000 km",95000
545,WagonRVXiBS-III,July,Second,Blue,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,WithHeater,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2009,Petrol,"53,000 km",169000
546,SwiftVXi,September,Third,White,Hatchback,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift,2010,CNG & Hybrids,"83,799 km",185000
547,SwiftVXi,January,First,Silver,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,,Yes,Yes,Maruti Suzuki,Swift,2014,Petrol,"40,620 km",425000
548,WagonR1.0LXiCNG,February,First,Blue,Hatchback,Manual,Comprehensive,New,MH,Yes,,,,,AutomaticClimateControl,Front&rear,,Yes,,Power,,Yes,,Yes,Yes,Yes,,Yes,Yes,RemoteControlledCentral,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2020,CNG & Hybrids,45 km,519000
549,SwiftVXi,February,First,Silver,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,,AutomaticClimateControl,Front&rear,,Yes,,,,,,,Yes,,,,,,,No,No,Yes,,,Yes,Maruti Suzuki,Swift,2006,Petrol,"64,000 km",165000
550,ErtigaVDi,March,First,Grey,SUV,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2013,Diesel,"22,805 km",625000
551,ErtigaVDi,August,First,Gold,MUV,Manual,NoInsurance,Used,MH,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,,,,Yes,Yes,Yes,,,Yes,RemoteControlledCentral,,No,No,Yes,Yes,Yes,,Maruti Suzuki,Ertiga,2014,Diesel,"56,000 km",625000
552,WagonRVXiBS-III,July,Second,Blue,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,WithHeater,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2009,Petrol,"53,000 km",169000
553,WagonR1.0LXiCNG,January,First,Blue,Hatchback,Manual,ThirdParty,Used,MH,Yes,,,Yes,,WithHeater,Front,,,,Manual,Yes,Yes,,Yes,Yes,,,,Yes,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2014.0,CNG & Hybrids,"67,000 km",299000
554,SwiftDzireVDiBS-IV,April,First,White,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,,,,Yes,Yes,,Yes,,,RemoteControlledCentral,,No,,Yes,Yes,Yes,,Maruti Suzuki,Swift Dzire,2013,Diesel,"67,000 km",465000
555,SwiftVXi,July,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Petrol,"18,000 km",370000
556,SwiftVDiBS-IV,August,Second,Grey,Hatchback,Manual,ThirdParty,Used,UP,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,,,,,Central,,,,Yes,Yes,,Yes,Maruti Suzuki,Swift,2013,Diesel,"72,000 km",335000
557,WagonR1.0LXiCNG,April,First,Gold,Hatchback,Manual,Comprehensive,Used,MH,,,,,,AutomaticClimateControl,Front&rear,,,,Manual,,,,Yes,Yes,,Yes,,Yes,RemoteControlledCentral,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2015,Petrol,"18,000 km",375000
558,WagonR1.0LXiCNG,April,First,Gold,Hatchback,Manual,Comprehensive,Used,MH,,,,,,AutomaticClimateControl,Front&rear,,,,Manual,,,,Yes,Yes,,Yes,,Yes,RemoteControlledCentral,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2015,Petrol,"18,000 km",375000
559,SwiftDzireVXi1.2BS-IV,May,First,Grey,Sedans,Manual,NoInsurance,Used,MH,Yes,,Yes,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014,Petrol,"28,522 km",445000
560,ErtigaVxiCNG,July,First,Blue,SUV,Manual,Comprehensive,Used,MH,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2014,CNG & Hybrids,"39,027 km",595000
561,SwiftDzireVDI,November,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014,Diesel,"56,000 km",550000
562,WagonR1.0LXiCNG,August,First,Grey,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,,WithHeater,Front,,,,,,,,Yes,Yes,,,,,Central,,No,No,Yes,Yes,,,Maruti Suzuki,Wagon R 1.0,2010,CNG & Hybrids,"67,000 km",215000
563,SwiftVXi,January,Second,Blue,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,,AutomaticClimateControl,Front&rear,,Yes,,,,,,,Yes,,,,,,,No,No,Yes,,,Yes,Maruti Suzuki,Swift,2007,Petrol,"66,400 km",165000
