,Variant,Make_Month,No_of_Owners,Color,Type_of_Car,Transmission,Insurance_Type,Condition,Registration_Place,Power_steering,Cruise_Control,Navigation_System,Adjustable_Steering,Automatic_Boot,Air_Conditioning,Power_Windows,Sunroof,Fog_Lamps,Alloy_Wheels,Adjustable_External_Mirror,Display_Screen,Bluetooth,AMFM_adio,USB_Compatibility,Aux_Compatibility,ABS,Anti_Theft_Device,Rear_Parking_Camera,Parking_Sensors,Lock_System,Number_of_Airbags,Flood_Affected,Accidental,Registration_Transfer,Insurance,Finance,Exchange,Brand,Model,Year,Fuel,KM_driven,Price
318,ErtigaVxiCNG,April,First,White,SUV,Manual,NoInsurance,Used,MH,Yes,,,Yes,,AutomaticClimateControl,Front&rear,,Yes,,Manual,,,,Yes,Yes,,,,Yes,RemoteControlledCentral,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015,CNG & Hybrids,"58,000 km",599000
319,MarutiSwiftVDIAMT(Automatic),October,First,White,Hatchback,Automatic,Comprehensive,New,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,,Yes,Power,,,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2018,Diesel,"26,500 km",725499
320,SwiftLXi,August,Second,Silver,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,Yes,,AutomaticClimateControl,Front,,Yes,,,,,,,Yes,,,,,,,No,No,Yes,Yes,,Yes,Maruti Suzuki,Swift,2007,Petrol,"72,000 km",180000
321,WagonR1.0LXiCNG,August,First,Grey,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,,WithHeater,Front,,,,,,,,Yes,Yes,,,,,Central,,No,No,Yes,Yes,,,Maruti Suzuki,Wagon R 1.0,2010,CNG & Hybrids,"67,000 km",215000
322,SwiftVXi,January,Second,Blue,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,,AutomaticClimateControl,Front&rear,,Yes,,,,,,,Yes,,,,,,,No,No,Yes,,,Yes,Maruti Suzuki,Swift,2007,Petrol,"66,400 km",165000
323,WagonRLXI,October,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,Yes,,WithHeater,Front,,,,Power,Yes,Yes,,Yes,Yes,,,Yes,Yes,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2015,CNG & Hybrids,"121,000 km",275000
324,SwiftVXi,September,Second,White,,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,,Maruti Suzuki,Swift,2013,Petrol,"14,000 km",365000
325,SHVSZDIPlus,September,First,White,SUV,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2018,Diesel,"39,200 km",975111
326,WagonR1.0LXi,December,First,,,Manual,NoInsurance,,MH,Yes,,,Yes,,WithHeater,Front,,,,,Yes,Yes,,,Yes,,,,Yes,RemoteControlledCentral,,,,Yes,,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2015.0,CNG & Hybrids,"45,682 km",325000
327,WagonR1.0VXi,,First,,,Manual,NoInsurance,,MH,,,,,,,,,,,,,,,,,,,,Yes,RemoteControlledCentral,,No,No,,,,,Maruti Suzuki,Wagon R 1.0,2011,Petrol,"63,000 km",225000
328,SwiftVXi+Manual,June,First,White,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift,2010,Petrol,"43,000 km",251000
329,ErtigaVxiCNG,October,First,Grey,SUV,Manual,Comprehensive,New,MH,Yes,,Yes,Yes,,AutomaticClimateControl,Front&rear,,Yes,,Manual,,Yes,,Yes,Yes,Yes,,,,Central,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015.0,CNG & Hybrids,"45,100 km",621000
330,SwiftVDi,October,First,Grey,Hatchback,Manual,Comprehensive,New,MH,Yes,,,Yes,,AutomaticClimateControl,Front&rear,,Yes,,Manual,,Yes,,Yes,Yes,,,,,Central,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2014.0,Diesel,"71,150 km",421000
331,WagonR1.0LXiCNG,March,First,Silver,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,AutomaticClimateControl,Front,,,,,Yes,Yes,,Yes,Yes,,,Yes,Yes,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2016,CNG & Hybrids,"36,000 km",375000
332,WagonRLXI,October,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,Yes,,WithHeater,Front,,,,Power,Yes,Yes,,Yes,Yes,,,Yes,Yes,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2015,CNG & Hybrids,"121,000 km",275000
333,WagonR1.0LXiCNG,August,First,Grey,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,"55,000 km",265000
334,SwiftDzireVDI,June,First,Blue,Sedans,Manual,Comprehensive,Used,MH,Yes,,,,Yes,WithHeater,Front&rear,,,,Manual,,Yes,,Yes,Yes,Yes,Yes,,Yes,RemoteControlledCentral,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2018,Diesel,"18,000 km",755000
335,ErtigaVxiCNG,January,First,Silver,SUV,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2014,CNG & Hybrids,"126,677 km",495000
